GEOID,Total_HH,year,No_Vehicle_Avail,pct_no_veh_avail,No_Vehicle_Score,no_walkshed,Walkability_Score,Availability,pop_below_185,total_pop,pct_below_185,Access,obesity_crudeprev,chd_crudeprev,diabetes_crudeprev,obesity_norm,chd_norm,diabetes_norm,Utilization,HFPA,Priority.Area,Priority.Class
42003040200,507,2020,82,6.182926829,0.390893524,100,10,1.977102738,740,1414,0.523338048,5.495534976,29.3,4,8,3.490566038,1.726190476,2.638297872,2.358292902,9.830930616,Not Anomalous,0
42003191500,966,2020,37,26.10810811,1.96118828,100,10,4.428530547,643,2044,0.314579256,3.303374009,27.6,5.3,7.8,2.955974843,2.5,2.553191489,2.422408696,10.15431325,Not Anomalous,0
42003980100,0,2020,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Anomalous,0
42003981100,0,2020,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Anomalous,0
42003191800,2329,2020,100,23.29,1.739094422,61.97,6.197,3.282859749,1640,5032,0.325914149,3.422400901,27.9,6.2,8.6,3.050314465,3.035714286,2.893617021,2.826161041,9.531421692,Not Anomalous,0
42003290400,1998,2020,233,8.575107296,0.579420212,84.45,8.445,2.2120587,1221,4173,0.292595255,3.072521604,31.6,7.6,10.6,4.213836478,3.869047619,3.744680851,4.010991961,9.295572265,Not Anomalous,0
42003070600,1330,2020,334,3.982035928,0.217442282,41.33,4.133,0.947992062,338,2115,0.159810875,1.678162432,20.4,3.1,4.5,0.691823899,1.19047619,1.14893617,0.351421038,2.977575532,1 SD Below Mean,0
42003140800,1928,2020,402,4.7960199,0.281592,54.37,5.437,1.237342193,1119,4374,0.255829904,2.686451311,22.8,4.4,6.5,1.446540881,1.964285714,2,1.341411283,5.265204787,1 SD Below Mean,0
42003120300,746,2020,610,1.22295082,0,100,10,0,931,2050,0.454146341,4.768957871,44.3,8.9,20,8.20754717,4.642857143,7.744680851,7.658577583,12.42753545,Not Anomalous,0
42003563000,1261,2020,36,35.02777778,2.664143517,100,10,5.161534187,748,2964,0.252361673,2.650031673,30,6,10.4,3.710691824,2.916666667,3.659574468,3.370036827,11.18160269,Not Anomalous,0
42003160800,1359,2020,222,6.121621622,0.386062087,79.2,7.92,1.748602794,976,2575,0.379029126,3.980157429,27.1,5.1,7.2,2.798742138,2.380952381,2.29787234,2.201245294,7.930005518,Not Anomalous,0
42003562400,1187,2020,193,6.150259067,0.388318992,100,10,1.970581112,1454,2780,0.523021583,5.492211796,37.9,8.4,15.6,6.194968553,4.345238095,5.872340426,5.918499952,13.38129286,1 SD Above Mean,1
42003320700,740,2020,21,35.23809524,2.680718543,100,10,5.177565589,389,1710,0.22748538,2.388807517,30.6,8.2,10.8,3.899371069,4.226190476,3.829787234,4.064154366,11.63052747,Not Anomalous,0
42003151700,2864,2020,293,9.774744027,0.673963054,36.47,3.647,1.567782912,1135,5567,0.203880007,2.140929203,24.8,4.9,7.2,2.075471698,2.261904762,2.29787234,1.850812428,5.559524543,1 SD Below Mean,0
42003270300,875,2020,388,2.255154639,0.081347528,100,10,0.901928646,610,2071,0.294543699,3.092982068,33.3,8.2,12.3,4.748427673,4.226190476,4.468085106,4.682944248,8.677854962,Not Anomalous,0
42003192000,1531,2020,122,12.54918033,0.892615157,91.96,9.196,2.86504607,890,3738,0.238095238,2.500220868,29.7,7.4,10.1,3.616352201,3.75,3.531914894,3.624372551,8.989639488,Not Anomalous,0
42003170600,817,2020,102,8.009803922,0.534868902,98.49,9.849,2.295195813,611,1602,0.381398252,4.00503545,26.8,5.2,7.3,2.704402516,2.44047619,2.340425532,2.204464306,8.504695568,Not Anomalous,0
42003110200,2198,2020,223,9.856502242,0.680406383,70.61,7.061,2.191882632,1024,4220,0.242654028,2.548092395,30.3,5.1,8.9,3.805031447,2.380952381,3.021276596,2.920856452,7.660831479,Not Anomalous,0
42003111500,1872,2020,492,3.804878049,0.203480547,8.87,0.887,0.424837905,1373,2758,0.497824511,5.227619164,37.5,7.7,15.8,6.06918239,3.928571429,5.957446809,5.728228327,11.3806854,Not Anomalous,0
42003130600,1257,2020,97,12.95876289,0.924894178,92.27,9.227,2.921300837,1699,2777,0.611811307,6.424586268,44,8.8,19.3,8.113207547,4.583333333,7.446808511,7.470640188,16.81652729,1 SD Above Mean,1
42003250900,563,2020,160,3.51875,0.180930922,100,10,1.345105653,560,1061,0.527803959,5.542431179,36.8,6.8,12.4,5.849056604,3.392857143,4.510638298,4.811851848,11.69938868,Not Anomalous,0
42003191600,1885,2020,131,14.38931298,1.0376352,92,9.2,3.089699636,989,4140,0.238888889,2.508554937,30.3,6.2,9.1,3.805031447,3.035714286,3.106382979,3.228666741,8.826921314,Not Anomalous,0
42003290200,2056,2020,265,7.758490566,0.515063008,60.31,6.031,1.762482624,1670,4478,0.372934346,3.91615658,31.1,7.7,10.6,4.056603774,3.928571429,3.744680851,3.970341748,9.648980952,Not Anomalous,0
42003562000,1981,2020,516,3.839147287,0.206181291,59.96,5.996,1.111873653,1613,2731,0.590626144,6.202122406,23.9,5.1,7.7,1.79245283,2.380952381,2.510638298,1.871112681,9.185108739,Not Anomalous,0
42003040900,1792,2020,299,5.993311037,0.375949987,92.71,9.271,1.866931259,2698,3838,0.702970297,7.381840225,30.8,5.7,9.3,3.962264151,2.738095238,3.191489362,3.205668403,12.45443989,Not Anomalous,0
42003290100,865,2020,116,7.456896552,0.491294516,57.39,5.739,1.679148364,975,2073,0.470332851,4.938931236,34.3,8.2,11.7,5.062893082,4.226190476,4.212765957,4.707551098,11.3256307,Not Anomalous,0
42003070300,1154,2020,343,3.364431487,0.168769148,63.73,6.373,1.037094874,711,2320,0.306465517,3.218172222,20.8,3.9,5.7,0.817610063,1.666666667,1.659574468,0.814306568,5.069573665,1 SD Below Mean,0
42003980300,0,2020,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Anomalous,0
42003040600,944,2020,511,1.847358121,0.049209264,58.76,5.876,0.537730078,1821,2248,0.810053381,8.506311939,24.7,2.9,4.1,2.044025157,1.071428571,0.978723404,0.793640474,9.837682491,Not Anomalous,0
42003090100,1196,2020,120,9.966666667,0.689088393,100,10,2.62504932,311,2129,0.146077971,1.533954203,26.1,5.3,7.5,2.48427673,2.5,2.425531915,2.17305558,6.332059102,Not Anomalous,0
42003562800,746,2020,77,9.688311688,0.66715136,96.18,9.618,2.533113061,554,1415,0.391519435,4.111317254,29.8,7.3,10.1,3.647798742,3.69047619,3.531914894,3.612691456,10.25712177,Not Anomalous,0
42003101400,1526,2020,82,18.6097561,1.370246463,100,10,3.701684026,654,3152,0.20748731,2.178809226,27.3,5.4,8.1,2.86163522,2.55952381,2.680851064,2.461034848,8.341528099,Not Anomalous,0
42003060500,698,2020,70,9.971428571,0.689463677,93.61,9.361,2.540486071,295,1256,0.234872611,2.466380299,28.8,6.2,8.8,3.333333333,3.035714286,2.978723404,2.979313625,7.986179994,Not Anomalous,0
42003210700,1212,2019,207,5.855072464,0.716711349,100,10,2.677146521,710,2223,0.319388214,3.317676023,38.1,6.2,14.3,6.257861635,3.035714286,5.319148936,5.169712898,11.16453544,Not Anomalous,0
42003220600,1013,2019,163,6.214723926,0.77316164,96.36,9.636,2.729502805,572,1805,0.316897507,3.29180356,31.1,5.7,10.5,4.056603774,2.738095238,3.70212766,3.457359726,9.478666092,Not Anomalous,0
42003141100,603,2019,32,18.84375,2.755392396,100,10,5.249183171,283,1300,0.217692308,2.26129994,27.3,6.6,9.3,2.86163522,3.273809524,3.191489362,2.970644761,10.48112787,Not Anomalous,0
42003090200,1456,2019,123,11.83739837,1.655687193,56.57,5.657,3.060428475,575,2746,0.209395484,2.175115884,26.6,7.3,9.5,2.641509434,3.69047619,3.276595745,3.08781957,8.323363929,Not Anomalous,0
42003111500,1874,2019,524,3.576335878,0.359044676,8.87,0.887,0.564333791,1518,2770,0.54801444,5.692553102,37.5,7.7,15.8,6.06918239,3.928571429,5.957446809,5.728228327,11.98511522,Not Anomalous,0
42003140800,1941,2019,248,7.826612903,1.026161031,54.37,5.437,2.362040966,1326,4487,0.295520392,3.06974671,22.8,4.4,6.5,1.446540881,1.964285714,2,1.341411283,6.773198959,1 SD Below Mean,0
42003180700,939,2019,65,14.44615385,2.065153077,100,10,4.544395535,749,1991,0.376192868,3.907739868,29.3,5.1,7.6,3.490566038,2.380952381,2.468085106,2.559881769,11.01201717,Not Anomalous,0
42003261500,769,2019,71,10.83098592,1.497722381,78.87,7.887,3.436937069,799,1744,0.458142202,4.758996515,38.7,6.9,14.2,6.446540881,3.452380952,5.276595745,5.403853748,13.59978733,Not Anomalous,0
42003160900,1861,2019,70,26.58571429,3.970558128,30.46,3.046,3.477688896,1026,3011,0.340750581,3.539579681,25.3,4.5,6.3,2.232704403,2.023809524,1.914893617,1.657838741,8.675107318,Not Anomalous,0
42003070300,1124,2019,144,7.805555556,1.022855905,63.73,6.373,2.553166795,637,2192,0.29060219,3.018658405,20.8,3.9,5.7,0.817610063,1.666666667,1.659574468,0.814306568,6.386131769,1 SD Below Mean,0
